news_no,title,date,keyword,url,site
40,"野 “청년층, 69시간제 반대…엉터리 노동개혁 중단해야”",3월 10일,69시간근무제,./articles/CBMiRGh0dHBzOi8vd3d3LmRvbmdhLmNvbS9uZXdzL1BvbGl0aWNzL2FydGljbGUvYWxsLzIwMjMwMzEwLzExODI3MDIzMi8x0gE3aHR0cHM6Ly93d3cuZG9uZ2EuY29tL25ld3MvYW1wL2FsbC8yMDIzMDMxMC8xMTgyNzAyMzIvMQ?hl=ko&gl=KR&ceid=KR%3Ako,구글
41,"[속보] 김대기 “주 69시간 근무제, '극단적 프레임' 씌워져…진의 전달 안 ...",3월 19일,69시간근무제,./articles/CBMiQ2h0dHA6Ly93d3cuZHQuY28ua3IvY29udGVudHMuaHRtbD9hcnRpY2xlX25vPTIwMjMwMzE5MDIxMDk5NTgwNzkwMDjSAQA?hl=ko&gl=KR&ceid=KR%3Ako,구글
42,"이재명, 주 69시간 근무제 겨냥 책상머리 정치가 국민 삶 위협",3일 전,69시간근무제,./articles/CBMiKWh0dHBzOi8vbS5tYm4uY28ua3IvbmV3cy9wb2xpdGljcy80OTE2OTU20gEA?hl=ko&gl=KR&ceid=KR%3Ako,구글
43,[포토] ‘주 69시간 근무제’ 관련 질의 받는 이정식 장관,3월 21일,69시간근무제,./articles/CBMiK2h0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvcG9saXRpY3MvMTA2ODk5MjPSAR9odHRwczovL20ubWsuY28ua3IvYW1wLzEwNjg5OTIz?hl=ko&gl=KR&ceid=KR%3Ako,구글
44,'주 38시간' 호주 언론이 주목한 '주 69시간제'…'kwarosa'도 소개,3월 14일,69시간근무제,./articles/CBMiTGh0dHBzOi8vd3d3LmtoYW4uY28ua3Ivd29ybGQvd29ybGQtZ2VuZXJhbC9hcnRpY2xlLzIwMjMwMzE0MTc1NjAwMS8_a3JlZj1ydGHSAQA?hl=ko&gl=KR&ceid=KR%3Ako,구글
45,오마이뉴스,3월 24일,69시간근무제,./articles/CBMiRGh0dHBzOi8vd3d3Lm9obXluZXdzLmNvbS9OV1NfV2ViL1ZpZXcvYXRfcGcuYXNweD9DTlROX0NEPUEwMDAyOTEzMDE10gEA?hl=ko&gl=KR&ceid=KR%3Ako,구글
46,"[뒤끝작렬]말로만 ""MZ 의견 듣겠다""는 정부…저출산 해결 의지 있나",4일 전,69시간근무제,./articles/CBMiKGh0dHBzOi8vd3d3Lm5vY3V0bmV3cy5jby5rci9uZXdzLzU5MTk5OTjSASpodHRwczovL20ubm9jdXRuZXdzLmNvLmtyL25ld3MvYW1wLzU5MTk5OTg?hl=ko&gl=KR&ceid=KR%3Ako,구글
47,[카드뉴스] 근로시간 개편안 두고 정부 혼선...野 4.5일제 도입 추진,3월 22일,69시간근무제,./articles/CBMiPGh0dHA6Ly93d3cubmV3c3RoZW9uZS5jb20vbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTExNzA4NtIBAA?hl=ko&gl=KR&ceid=KR%3Ako,구글
48,민주노총 인천 “노동자 생명·안전 외면 윤석열 정부 규탄”,2일 전,69시간근무제,./articles/CBMiP2h0dHBzOi8vd3d3LmluY2hlb250b2RheS5jb20vbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTIyODU4NdIBAA?hl=ko&gl=KR&ceid=KR%3Ako,구글
49,[뉴스속 용어]주 69시간 근무제에 부각된 '크런치 모드',3월 15일,69시간근무제,./articles/CBMiQWh0dHBzOi8vd3d3LmFzaWFlLmNvLmtyL3Zpc3VhbC12aWV3L3Bob3RvbmV3cy8yMDIzMDMxNTA5MTk0OTg0NzMx0gEA?hl=ko&gl=KR&ceid=KR%3Ako,구글
50,"한국노총, 노조 회계장부 제출과 주 69시간 근무제를 '노동개악'으로 규정",3월 10일,69시간근무제,./articles/CBMiMWh0dHBzOi8vd3d3Lm5ld3MyZGF5LmNvLmtyL2FydGljbGUvMjAyMzAzMTA1MDAxNDfSAQA?hl=ko&gl=KR&ceid=KR%3Ako,구글
51,"부산 청년단체 ""69시간 노동 허용, 정부가 산업재해 조장하는 것""",3월 27일,69시간근무제,./articles/CBMiQWh0dHBzOi8vbW9iaWxlLm5ld3Npcy5jb20vdmlldy5odG1sP2FyX2lkPU5JU1gyMDIzMDMyN18wMDAyMjQyMTE20gFFaHR0cHM6Ly9tb2JpbGUubmV3c2lzLmNvbS92aWV3X2FtcC5odG1sP2FyX2lkPU5JU1gyMDIzMDMyN18wMDAyMjQyMTE2?hl=ko&gl=KR&ceid=KR%3Ako,구글
52,"[정치쇼] 우원식 ""주 69시간? 약 먹어가며 일하던 전태일 시대로 회귀""",3월 9일,69시간근무제,./articles/CBMiOmh0dHBzOi8vbmV3cy5zYnMuY28ua3IvbmV3cy9lbmRQYWdlLmRvP25ld3NfaWQ9TjEwMDcxMDc2NDTSATdodHRwczovL25ld3Muc2JzLmNvLmtyL2FtcC9uZXdzLmFtcD9uZXdzX2lkPU4xMDA3MTA3NjQ0?hl=ko&gl=KR&ceid=KR%3Ako,구글
53,"대통령실 ""주당 최대 근로시간 여론청취 후 방향 잡을 것""",3월 15일,69시간근무제,./articles/CBMiNmh0dHBzOi8vbS55b25oYXBuZXdzdHYuY28ua3IvbmV3cy9NWUgyMDIzMDMxNTAwOTUwMDY0MdIBAA?hl=ko&gl=KR&ceid=KR%3Ako,구글
54,"""당정은 일체 …'주69시간 근무' 혼선, 여당도 책임 있다""",3월 27일,69시간근무제,./articles/CBMiK2h0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvcG9saXRpY3MvMTA2OTczODbSAR9odHRwczovL20ubWsuY28ua3IvYW1wLzEwNjk3Mzg2?hl=ko&gl=KR&ceid=KR%3Ako,구글
55,[사회][영상] 노동자의 시간,3월 19일,69시간근무제,./articles/CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDEwM18yMDIzMDMxOTA2MzcyNzA2OTLSAQA?hl=ko&gl=KR&ceid=KR%3Ako,구글
56,"[찐비트]""주 50시간 이상 일하면 건강,생산성에 부정적""[오피스시프트]⑮",4일 전,69시간근무제,./articles/CBMiM2h0dHBzOi8vd3d3LmFzaWFlLmNvLmtyL2FydGljbGUvMjAyMzAzMjgwOTI2MzM3OTE3ONIBAA?hl=ko&gl=KR&ceid=KR%3Ako,구글
57,"박명수 ""주 69시간제? 현장 소리 듣고 정책 만들길"" 소신 발언 ('라디오쇼')[종합] - 조선일보",3월 17일,69시간근무제,./articles/CBMiWmh0dHBzOi8vd3d3LmNob3N1bi5jb20vZW50ZXJ0YWlubWVudHMvZW50ZXJfZ2VuZXJhbC8yMDIzLzAzLzE3L09KWTNES01TSUw3RUFJRE9PUkNHVFhBUEVFL9IBaWh0dHBzOi8vd3d3LmNob3N1bi5jb20vZW50ZXJ0YWlubWVudHMvZW50ZXJfZ2VuZXJhbC8yMDIzLzAzLzE3L09KWTNES01TSUw3RUFJRE9PUkNHVFhBUEVFLz9vdXRwdXRUeXBlPWFtcA?hl=ko&gl=KR&ceid=KR%3Ako,구글
58,尹 지지율 2%p 하락한 35%…주 69시간 근로 반대 54%[NBS],3월 16일,69시간근무제,./articles/CBMiQWh0dHBzOi8vbW9iaWxlLm5ld3Npcy5jb20vdmlldy5odG1sP2FyX2lkPU5JU1gyMDIzMDMxNl8wMDAyMjI5MTE30gFFaHR0cHM6Ly9tb2JpbGUubmV3c2lzLmNvbS92aWV3X2FtcC5odG1sP2FyX2lkPU5JU1gyMDIzMDMxNl8wMDAyMjI5MTE3?hl=ko&gl=KR&ceid=KR%3Ako,구글
59,외신도 주목한 ‘주 최대 69시간 근무’… ‘Kwarosa’(과로사) 소개도,3월 15일,69시간근무제,./articles/CBMiLWh0dHBzOi8vd3d3LnNlZ3llLmNvbS9uZXdzVmlldy8yMDIzMDMxNTUwNDI5NtIBKmh0dHBzOi8vbS5zZWd5ZS5jb20vYW1wVmlldy8yMDIzMDMxNTUwNDI5Ng?hl=ko&gl=KR&ceid=KR%3Ako,구글
60,있는 육아휴직도 못 쓰는데 ‘육아기 재택·단축근무’ 가능한가,3월 29일,69시간근무제,./articles/CBMiLGh0dHBzOi8vbS5raGFuLmNvLmtyL2FydGljbGUvMjAyMzAzMjkwNjAwMDM10gFIaHR0cHM6Ly9tLmtoYW4uY28ua3IvbmF0aW9uYWwvaGVhbHRoLXdlbGZhcmUvYXJ0aWNsZS8yMDIzMDMyOTA2MDAwMzUvYW1w?hl=ko&gl=KR&ceid=KR%3Ako,구글
61,"尹-기시다, 한일 정상회담서 '셔틀외교' 재개 공감 [정치오늘]",3월 16일,69시간근무제,./articles/CBMiO2h0dHBzOi8vd3d3LnNpc2Fvbi5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89MTQ4NDA40gEA?hl=ko&gl=KR&ceid=KR%3Ako,구글
62,"""한국은 여전히 '장시간 노동국'…독일보다 연 566시간 길어""",3월 15일,69시간근무제,./articles/CBMiL2h0dHBzOi8vd3d3LnluYS5jby5rci92aWV3L0FLUjIwMjMwMzE0MTM0OTAwNTMw0gExaHR0cHM6Ly9tLnluYS5jby5rci9hbXAvdmlldy9BS1IyMDIzMDMxNDEzNDkwMDUzMA?hl=ko&gl=KR&ceid=KR%3Ako,구글
63,이정식 고용 “노동자 일한만큼 보상” 경제계 “수당 지급 않는 건 문제” - 조선비즈,3월 28일,69시간근무제,./articles/CBMiUmh0dHBzOi8vYml6LmNob3N1bi5jb20vdG9waWNzL3RvcGljc19zb2NpYWwvMjAyMy8wMy8yOC9XNVA1RlBGM0NWR0JaTkFYSllFN0NRSkU1WS_SAWFodHRwczovL2Jpei5jaG9zdW4uY29tL3RvcGljcy90b3BpY3Nfc29jaWFsLzIwMjMvMDMvMjgvVzVQNUZQRjNDVkdCWk5BWEpZRTdDUUpFNVkvP291dHB1dFR5cGU9YW1w?hl=ko&gl=KR&ceid=KR%3Ako,구글
64,"장예찬 “주69시간제, 첫단추 잘못 꿰…소통방식 부적절”",3월 23일,69시간근무제,./articles/CBMiOmh0dHBzOi8vc2lzYWpvdXJuYWwuY29tL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0yNTk0MDXSAQA?hl=ko&gl=KR&ceid=KR%3Ako,구글
65,[오늘 통한 과거리뷰] 공장법,3월 16일,69시간근무제,./articles/CBMiQmh0dHA6Ly93d3cuZmluYW5jaWFscmV2aWV3LmNvLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0yMzgzMdIBAA?hl=ko&gl=KR&ceid=KR%3Ako,구글
66,"정부 '충분한 휴가보장' 고심…노동계 ""완전 폐기""",3월 20일,69시간근무제,./articles/CBMiL2h0dHBzOi8vd3d3LnluYS5jby5rci92aWV3L01ZSDIwMjMwMzIwMDIxOTAwNjQx0gExaHR0cHM6Ly9tLnluYS5jby5rci9hbXAvdmlldy9NWUgyMDIzMDMyMDAyMTkwMDY0MQ?hl=ko&gl=KR&ceid=KR%3Ako,구글
67,"[사설] ‘지지율 30%’ 급락한 윤 대통령, 국정 전반 쇄신해야",5일 전,69시간근무제,./articles/CBMiLGh0dHBzOi8vbS5raGFuLmNvLmtyL2FydGljbGUvMjAyMzAzMzEyMDQ1MDA10gFCaHR0cHM6Ly9tLmtoYW4uY28ua3Ivb3Bpbmlvbi9lZGl0b3JpYWwvYXJ0aWNsZS8yMDIzMDMzMTIwNDUwMDUvYW1w?hl=ko&gl=KR&ceid=KR%3Ako,구글
68,"과로사 유가족이 본 '주69시간' ""자기 자식 일이라면 이랬을까""",3월 28일,69시간근무제,./articles/CBMiRGh0dHBzOi8vd3d3Lm9obXluZXdzLmNvbS9OV1NfV2ViL1ZpZXcvYXRfcGcuYXNweD9DTlROX0NEPUEwMDAyOTEzOTQ40gFCaHR0cHM6Ly9tLm9obXluZXdzLmNvbS9OV1NfV2ViL01vYmlsZS9hbXAuYXNweD9DTlROX0NEPUEwMDAyOTEzOTQ4?hl=ko&gl=KR&ceid=KR%3Ako,구글
69,"[여명]청년 없는 뿌리산업, 흔들리는 제조 강국 - 서울경제",3월 27일,69시간근무제,./articles/CBMiK2h0dHBzOi8vd3d3LnNlZGFpbHkuY29tL05ld3NWaWV3LzI5TjZVMTBSUELSASxodHRwczovL20uc2VkYWlseS5jb20vTmV3c1ZpZXdBbXAvMjlONlUxMFJQQg?hl=ko&gl=KR&ceid=KR%3Ako,구글
70,비즈한국,3월 7일,69시간근무제,./articles/CBMiK2h0dHBzOi8vd3d3LmJpemhhbmtvb2suY29tL2JrL2FydGljbGUvMjUzMDHSAQA?hl=ko&gl=KR&ceid=KR%3Ako,구글
